age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference
196.1,201.3,190.8,1204,mean,602,2408,1,skew_normal,paleosols,"Suchecki et al., 1988 (reported in Ekart et al., 1999)"
211.9,214,209.8,1264,mean,632,2528,1,skew_normal,paleosols,"Suchecki et al., 1988 (reported in Ekart et al., 1999)"
223.3,237,209.5,800,mean,400,1600,1,skew_normal,paleosols,"Suchecki et al., 1988 (reported in Ekart et al., 1999)"
142.2,145,139.4,560,mean,280,1120,1,skew_normal,paleosols,"Platt, 1989 (reported in Cerling, 1991)"
242.1,247.1,237,284,mean,142,568,1,skew_normal,paleosols,"Purvis & Wright, 1991 (reported in Ekart et al., 1999)"
211.9,214,209.8,667,mean,333,1333,1,skew_normal,paleosols,"Cerling, 1991"
4,5.3,2.6,80,mean,40,160,1,skew_normal,paleosols,"Cerling, 1992"
8.4,11.4,5.3,133,mean,67,267,1,skew_normal,paleosols,"Cerling, 1992"
13.7,16,11.4,133,mean,67,267,1,skew_normal,paleosols,"Cerling, 1992"
53.5,55,52,80,mean,40,160,1,skew_normal,paleosols,"Cerling, 1992"
106.8,113,100.5,600,mean,300,1200,1,skew_normal,paleosols,"Cerling, 1992"
55.5,56,55,328,mean,164,656,1,skew_normal,paleosols,"Koch et al., 1992"
56.5,57,56,428,mean,214,856,1,skew_normal,paleosols,"Koch et al., 1992"
303,307,298.9,588,mean,294,1176,1,skew_normal,paleosols,"Kenny & Neet, 1993"
344.9,346.7,343,524,mean,262,1048,1,skew_normal,paleosols,"Muchez et al., 1993"
7.7,7.8,7.5,292,mean,146,584,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)"
10.6,11.2,9.9,448,mean,224,896,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)"
7.1,8.9,5.3,468,mean,234,936,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)"
55.5,56,55,100,mean,50,200,1,skew_normal,paleosols,"Sinha & Stott, 1994"
56.5,57,56,100,mean,50,200,1,skew_normal,paleosols,"Sinha & Stott, 1994"
69.1,72.1,66,60,mean,30,120,1,skew_normal,paleosols,"Andrews et al., 1995"
7,9,5,148,mean,74,296,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)"
9,11,7,204,mean,102,408,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)"
13,15,11,296,mean,148,592,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)"
13,15,11,176,mean,88,352,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)"
285.6,298.9,272.3,70,mean,35,140,1,skew_normal,paleosols,"Mora et al., 1996"
303,307,298.9,250,mean,125,500,1,skew_normal,paleosols,"Mora et al., 1996"
327.1,330.9,323.2,290,mean,145,580,1,skew_normal,paleosols,"Mora et al., 1996"
327.1,330.9,323.2,210,mean,105,420,1,skew_normal,paleosols,"Mora et al., 1996"
332.6,346.7,318.5,320,mean,160,640,1,skew_normal,paleosols,"Mora et al., 1996"
338.8,346.7,330.9,190,mean,95,380,1,skew_normal,paleosols,"Mora et al., 1996"
365.6,372.2,358.9,395,mean,198,790,1,skew_normal,paleosols,"Mora et al., 1996"
365.6,372.2,358.9,600,mean,300,1200,1,skew_normal,paleosols,"Mora et al., 1996"
423.3,427.4,419.2,1680,mean,840,3360,1,skew_normal,paleosols,"Mora et al., 1996"
5,,,324,mean,162,648,1,skew_normal,paleosols,"Ekart et al., 1999"
21,,,312,mean,156,624,1,skew_normal,paleosols,"Ekart et al., 1999"
25.6,28.1,23,588,mean,294,1176,1,skew_normal,paleosols,"Ekart et al., 1999"
45,,,780,mean,390,1560,1,skew_normal,paleosols,"Ekart et al., 1999"
60.7,62.2,59.2,0,mean,0,0,1,skew_normal,paleosols,"Ekart et al., 1999"
69.1,72.1,66,328,mean,164,656,1,skew_normal,paleosols,"Ekart et al., 1999"
69.1,72.1,66,172,mean,86,344,1,skew_normal,paleosols,"Ekart et al., 1999"
69.1,72.1,66,252,mean,126,504,1,skew_normal,paleosols,"Ekart et al., 1999"
77.9,83.6,72.1,1180,mean,590,2360,1,skew_normal,paleosols,"Ekart et al., 1999"
77.9,83.6,72.1,504,mean,252,1008,1,skew_normal,paleosols,"Ekart et al., 1999"
119.7,126.3,113,904,mean,452,1808,1,skew_normal,paleosols,"Ekart et al., 1999"
119.7,126.3,113,1084,mean,542,2168,1,skew_normal,paleosols,"Ekart et al., 1999"
119.7,126.3,113,1076,mean,538,2152,1,skew_normal,paleosols,"Ekart et al., 1999"
119.7,126.3,113,592,mean,296,1184,1,skew_normal,paleosols,"Ekart et al., 1999"
154.7,157.3,152.1,1272,mean,636,2544,1,skew_normal,paleosols,"Ekart et al., 1999"
187.7,201.3,174.1,1824,mean,912,3648,1,skew_normal,paleosols,"Ekart et al., 1999"
172.2,174.1,170.3,768,mean,384,1536,1,skew_normal,paleosols,"Ekart et al., 1999"
223.3,237,209.5,660,mean,330,1320,1,skew_normal,paleosols,"Ekart et al., 1999"
223.3,237,209.5,732,mean,366,1464,1,skew_normal,paleosols,"Ekart et al., 1999"
223.3,237,209.5,1140,mean,570,2280,1,skew_normal,paleosols,"Ekart et al., 1999"
242.1,247.1,237,244,mean,122,488,1,skew_normal,paleosols,"Ekart et al., 1999"
259.4,259.8,259,400,mean,200,800,1,skew_normal,paleosols,"Ekart et al., 1999"
290.5,298.9,282,0,mean,0,0,1,skew_normal,paleosols,"Ekart et al., 1999"
303,307,298.9,608,mean,304,1216,1,skew_normal,paleosols,"Ekart et al., 1999"
344.8,347,342.5,824,mean,412,1648,1,skew_normal,paleosols,"Ekart et al., 1999"
388,393.3,382.7,624,mean,312,1248,1,skew_normal,paleosols,"Ekart et al., 1999"
130.1,133.9,126.3,1150,mean,575,2300,1,skew_normal,paleosols,"Lee, 1999"
134.3,136.5,132,653,mean,327,1307,1,skew_normal,paleosols,"Lee & Hisada, 1999  (updated by Hong and Lee, 2012)"
365.6,372.2,358.9,1140,mean,570,2280,1,skew_normal,paleosols,"Driese et al., 2000"
365.6,372.2,358.9,1260,mean,630,2520,1,skew_normal,paleosols,"Driese et al., 2000"
402.6,407.6,397.5,1320,mean,660,2640,1,skew_normal,paleosols,"Driese et al., 2000"
421.1,423,419.2,1440,mean,720,2880,1,skew_normal,paleosols,"Driese et al., 2000"
377.5,382.7,372.2,1120,mean,560,2240,1,skew_normal,paleosols,"Cox et al., 2001"
385.2,387.7,382.7,1560,mean,780,3120,1,skew_normal,paleosols,"Cox et al., 2001"
54.2,54.5,53.9,814,mean,407,1627,1,skew_normal,paleosols,"Royer et al., 2001b"
54.9,55.2,54.6,231,mean,115,462,1,skew_normal,paleosols,"Royer et al., 2001b"
56.2,56.5,55.9,461,mean,230,922,1,skew_normal,paleosols,"Royer et al., 2001b"
56.5,56.8,56.2,487,mean,243,974,1,skew_normal,paleosols,"Royer et al., 2001b"
56.7,57,56.4,579,mean,290,1158,1,skew_normal,paleosols,"Royer et al., 2001b"
57.3,57.6,57,816,mean,408,1633,1,skew_normal,paleosols,"Royer et al., 2001b"
57.7,58,57.4,474,mean,237,948,1,skew_normal,paleosols,"Royer et al., 2001b"
