"","age","age_old","age_young","co2","type","co2_low","co2_high","co2_range","distribution","proxy_type","reference","xi_co2","omega_co2","alpha_co2"
"1",196.1,201.3,190.8,1204,"mean",602,2408,1,"skew_normal","paleosols","Suchecki et al., 1988 (reported in Ekart et al., 1999)",2317.42932535816,1223.77715266662,-1.48947322328285
"2",211.9,214,209.8,1264,"mean",632,2528,1,"skew_normal","paleosols","Suchecki et al., 1988 (reported in Ekart et al., 1999)",2432.91583658863,1284.76272505865,-1.48947322328285
"3",223.3,237,209.5,800,"mean",400,1600,1,"skew_normal","paleosols","Suchecki et al., 1988 (reported in Ekart et al., 1999)",1539.82014973964,813.140965226991,-1.48947322328285
"4",142.2,145,139.4,560,"mean",280,1120,1,"skew_normal","paleosols","Platt, 1989 (reported in Cerling, 1991)",1077.87410481775,569.198675658894,-1.48947322328285
"5",242.1,247.1,237,284,"mean",142,568,1,"skew_normal","paleosols","Purvis & Wright, 1991 (reported in Ekart et al., 1999)",546.636153157573,288.665042655582,-1.48947322328285
"6",211.9,214,209.8,667,"mean",333,1333,1,"skew_normal","paleosols","Cerling, 1991",1282.1857581816,677.169961698176,-1.48566848873547
"7",4,5.3,2.6,80,"mean",40,160,1,"skew_normal","paleosols","Cerling, 1992",153.982014973964,81.3140965226991,-1.48947322328285
"8",8.4,11.4,5.3,133,"mean",67,267,1,"skew_normal","paleosols","Cerling, 1992",257.630013012556,135.968873703879,-1.5085530437735
"9",13.7,16,11.4,133,"mean",67,267,1,"skew_normal","paleosols","Cerling, 1992",257.630013012556,135.968873703879,-1.50855304377349
"10",53.5,55,52,80,"mean",40,160,1,"skew_normal","paleosols","Cerling, 1992",153.982014973964,81.3140965226991,-1.48947322328285
"11",106.8,113,100.5,600,"mean",300,1200,1,"skew_normal","paleosols","Cerling, 1992",1154.86511230473,609.855723920243,-1.48947322328285
"12",55.5,56,55,328,"mean",164,656,1,"skew_normal","paleosols","Koch et al., 1992",631.326261393253,333.387795743066,-1.48947322328285
"13",56.5,57,56,428,"mean",214,856,1,"skew_normal","paleosols","Koch et al., 1992",823.803780110708,435.03041639644,-1.48947322328285
"14",303,307,298.9,588,"mean",294,1176,1,"skew_normal","paleosols","Kenny & Neet, 1993",1131.76781005864,597.658609441838,-1.48947322328285
"15",344.9,346.7,343,524,"mean",262,1048,1,"skew_normal","paleosols","Muchez et al., 1993",1008.58219807947,532.607332223679,-1.48947322328285
"16",7.7,7.8,7.5,292,"mean",146,584,1,"skew_normal","paleosols","Quade et al., 1994 (reported in Ekart et al., 1999)",562.034354654969,296.796452307852,-1.48947322328285
"17",10.6,11.2,9.9,448,"mean",224,896,1,"skew_normal","paleosols","Quade et al., 1994 (reported in Ekart et al., 1999)",862.299283854163,455.358940527087,-1.48947322328268
"18",7.1,8.9,5.3,468,"mean",234,936,1,"skew_normal","paleosols","Quade et al., 1994 (reported in Ekart et al., 1999)",900.79478759769,475.68746465779,-1.48947322328285
"19",55.5,56,55,100,"mean",50,200,1,"skew_normal","paleosols","Sinha & Stott, 1994",192.477518717455,101.642620653374,-1.48947322328285
"20",56.5,57,56,100,"mean",50,200,1,"skew_normal","paleosols","Sinha & Stott, 1994",192.477518717455,101.642620653374,-1.48947322328285
"21",69.1,72.1,66,60,"mean",30,120,1,"skew_normal","paleosols","Andrews et al., 1995",115.486511230473,60.9855723920243,-1.48947322328285
"22",7,9,5,148,"mean",74,296,1,"skew_normal","paleosols","Quade & Cerling, 1995 (reported in Ekart et al., 1999)",284.866727701834,150.431078566993,-1.48947322328285
"23",9,11,7,204,"mean",102,408,1,"skew_normal","paleosols","Quade & Cerling, 1995 (reported in Ekart et al., 1999)",392.654138183609,207.350946132883,-1.48947322328285
"24",13,15,11,296,"mean",148,592,1,"skew_normal","paleosols","Quade & Cerling, 1995 (reported in Ekart et al., 1999)",569.733455403667,300.862157133987,-1.48947322328285
"25",13,15,11,176,"mean",88,352,1,"skew_normal","paleosols","Quade & Cerling, 1995 (reported in Ekart et al., 1999)",338.760432942721,178.891012349938,-1.48947322328285
"26",285.6,298.9,272.3,70,"mean",35,140,1,"skew_normal","paleosols","Mora et al., 1996",134.734263102219,71.1498344573617,-1.48947322328285
"27",303,307,298.9,250,"mean",125,500,1,"skew_normal","paleosols","Mora et al., 1996",481.193796793638,254.106551633435,-1.48947322328285
"28",327.1,330.9,323.2,290,"mean",145,580,1,"skew_normal","paleosols","Mora et al., 1996",558.18480428062,294.763599894784,-1.48947322328285
"29",327.1,330.9,323.2,210,"mean",105,420,1,"skew_normal","paleosols","Mora et al., 1996",404.202789306656,213.449503372085,-1.48947322328285
"30",332.6,346.7,318.5,320,"mean",160,640,1,"skew_normal","paleosols","Mora et al., 1996",615.928059895857,325.256386090796,-1.48947322328285
"31",338.8,346.7,330.9,190,"mean",95,380,1,"skew_normal","paleosols","Mora et al., 1996",365.707285563165,193.12097924141,-1.48947322328285
"32",365.6,372.2,358.9,395,"mean",198,790,1,"skew_normal","paleosols","Mora et al., 1996",760.642777788701,401.3729680378,-1.49268953306868
"33",365.6,372.2,358.9,600,"mean",300,1200,1,"skew_normal","paleosols","Mora et al., 1996",1154.86511230473,609.855723920243,-1.48947322328285
"34",423.3,427.4,419.2,1680,"mean",840,3360,1,"skew_normal","paleosols","Mora et al., 1996",3233.62231445325,1707.59602697668,-1.48947322328285
"35",5,NA,NA,324,"mean",162,648,1,"skew_normal","paleosols","Ekart et al., 1999",623.627160644555,329.322090916931,-1.48947322328285
"36",21,NA,NA,312,"mean",156,624,1,"skew_normal","paleosols","Ekart et al., 1999",600.52985839846,317.124976438526,-1.48947322328285
"37",25.6,28.1,23,588,"mean",294,1176,1,"skew_normal","paleosols","Ekart et al., 1999",1131.76781005864,597.658609441838,-1.48947322328285
"38",45,NA,NA,780,"mean",390,1560,1,"skew_normal","paleosols","Ekart et al., 1999",1501.32464599615,792.812441096316,-1.48947322328285
"39",69.1,72.1,66,328,"mean",164,656,1,"skew_normal","paleosols","Ekart et al., 1999",631.326261393253,333.387795743066,-1.48947322328285
"40",69.1,72.1,66,172,"mean",86,344,1,"skew_normal","paleosols","Ekart et al., 1999",331.061332194023,174.825307523803,-1.48947322328285
"41",69.1,72.1,66,252,"mean",126,504,1,"skew_normal","paleosols","Ekart et al., 1999",485.043347167987,256.139404046502,-1.48947322328285
"42",77.9,83.6,72.1,1180,"mean",590,2360,1,"skew_normal","paleosols","Ekart et al., 1999",2271.23472086597,1199.38292370981,-1.48947322328285
"43",77.9,83.6,72.1,504,"mean",252,1008,1,"skew_normal","paleosols","Ekart et al., 1999",970.086694335974,512.278808093004,-1.48947322328285
"44",119.7,126.3,113,904,"mean",452,1808,1,"skew_normal","paleosols","Ekart et al., 1999",1739.99676920579,918.8492907065,-1.48947322328285
"45",119.7,126.3,113,1084,"mean",542,2168,1,"skew_normal","paleosols","Ekart et al., 1999",2086.45630289721,1101.80600788257,-1.48947322328285
"46",119.7,126.3,113,1076,"mean",538,2152,1,"skew_normal","paleosols","Ekart et al., 1999",2071.05810139982,1093.6745982303,-1.48947322328285
"47",119.7,126.3,113,592,"mean",296,1184,1,"skew_normal","paleosols","Ekart et al., 1999",1139.46691080733,601.724314267973,-1.48947322328285
"48",154.7,157.3,152.1,1272,"mean",636,2544,1,"skew_normal","paleosols","Ekart et al., 1999",2448.31403808603,1292.89413471092,-1.48947322328285
"49",187.7,201.3,174.1,1824,"mean",912,3648,1,"skew_normal","paleosols","Ekart et al., 1999",3510.78994140638,1853.96140071754,-1.48947322328285
"50",172.2,174.1,170.3,768,"mean",384,1536,1,"skew_normal","paleosols","Ekart et al., 1999",1478.22734375006,780.615326617911,-1.48947322328285
"51",223.3,237,209.5,660,"mean",330,1320,1,"skew_normal","paleosols","Ekart et al., 1999",1270.3516235352,670.841296312268,-1.48947322328285
"52",223.3,237,209.5,732,"mean",366,1464,1,"skew_normal","paleosols","Ekart et al., 1999",1408.93543701177,744.023983182697,-1.48947322328285
