age,age_old,age_young,co2,type,co2_low,co2_high,co2_range,distribution,proxy_type,reference,xi_co2,omega_co2,alpha_co2
196.1,201.3,190.8,1204,mean,602,2408,1,skew_normal,paleosols,"Suchecki et al., 1988 (reported in Ekart et al., 1999)",2317.429325,1223.777153,-1.489473223
211.9,214,209.8,1264,mean,632,2528,1,skew_normal,paleosols,"Suchecki et al., 1988 (reported in Ekart et al., 1999)",2432.915837,1284.762725,-1.489473223
223.3,237,209.5,800,mean,400,1600,1,skew_normal,paleosols,"Suchecki et al., 1988 (reported in Ekart et al., 1999)",1539.82015,813.1409652,-1.489473223
142.2,145,139.4,560,mean,280,1120,1,skew_normal,paleosols,"Platt, 1989 (reported in Cerling, 1991)",1077.874105,569.1986757,-1.489473223
242.1,247.1,237,284,mean,142,568,1,skew_normal,paleosols,"Purvis & Wright, 1991 (reported in Ekart et al., 1999)",546.6361532,288.6650427,-1.489473223
211.9,214,209.8,667,mean,333,1333,1,skew_normal,paleosols,"Cerling, 1991",1282.185758,677.1699617,-1.485668489
4,5.3,2.6,80,mean,40,160,1,skew_normal,paleosols,"Cerling, 1992",153.982015,81.31409652,-1.489473223
8.4,11.4,5.3,133,mean,67,267,1,skew_normal,paleosols,"Cerling, 1992",257.630013,135.9688737,-1.508553044
13.7,16,11.4,133,mean,67,267,1,skew_normal,paleosols,"Cerling, 1992",257.630013,135.9688737,-1.508553044
53.5,55,52,80,mean,40,160,1,skew_normal,paleosols,"Cerling, 1992",153.982015,81.31409652,-1.489473223
106.8,113,100.5,600,mean,300,1200,1,skew_normal,paleosols,"Cerling, 1992",1154.865112,609.8557239,-1.489473223
55.5,56,55,328,mean,164,656,1,skew_normal,paleosols,"Koch et al., 1992",631.3262614,333.3877957,-1.489473223
56.5,57,56,428,mean,214,856,1,skew_normal,paleosols,"Koch et al., 1992",823.8037801,435.0304164,-1.489473223
303,307,298.9,588,mean,294,1176,1,skew_normal,paleosols,"Kenny & Neet, 1993",1131.76781,597.6586094,-1.489473223
344.9,346.7,343,524,mean,262,1048,1,skew_normal,paleosols,"Muchez et al., 1993",1008.582198,532.6073322,-1.489473223
7.7,7.8,7.5,292,mean,146,584,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)",562.0343547,296.7964523,-1.489473223
10.6,11.2,9.9,448,mean,224,896,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)",862.2992839,455.3589405,-1.489473223
7.1,8.9,5.3,468,mean,234,936,1,skew_normal,paleosols,"Quade et al., 1994 (reported in Ekart et al., 1999)",900.7947876,475.6874647,-1.489473223
55.5,56,55,100,mean,50,200,1,skew_normal,paleosols,"Sinha & Stott, 1994",192.4775187,101.6426207,-1.489473223
56.5,57,56,100,mean,50,200,1,skew_normal,paleosols,"Sinha & Stott, 1994",192.4775187,101.6426207,-1.489473223
69.1,72.1,66,60,mean,30,120,1,skew_normal,paleosols,"Andrews et al., 1995",115.4865112,60.98557239,-1.489473223
7,9,5,148,mean,74,296,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",284.8667277,150.4310786,-1.489473223
9,11,7,204,mean,102,408,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",392.6541382,207.3509461,-1.489473223
13,15,11,296,mean,148,592,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",569.7334554,300.8621571,-1.489473223
13,15,11,176,mean,88,352,1,skew_normal,paleosols,"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",338.7604329,178.8910123,-1.489473223
285.6,298.9,272.3,70,mean,35,140,1,skew_normal,paleosols,"Mora et al., 1996",134.7342631,71.14983446,-1.489473223
303,307,298.9,250,mean,125,500,1,skew_normal,paleosols,"Mora et al., 1996",481.1937968,254.1065516,-1.489473223
327.1,330.9,323.2,290,mean,145,580,1,skew_normal,paleosols,"Mora et al., 1996",558.1848043,294.7635999,-1.489473223
327.1,330.9,323.2,210,mean,105,420,1,skew_normal,paleosols,"Mora et al., 1996",404.2027893,213.4495034,-1.489473223
332.6,346.7,318.5,320,mean,160,640,1,skew_normal,paleosols,"Mora et al., 1996",615.9280599,325.2563861,-1.489473223
338.8,346.7,330.9,190,mean,95,380,1,skew_normal,paleosols,"Mora et al., 1996",365.7072856,193.1209792,-1.489473223
365.6,372.2,358.9,395,mean,198,790,1,skew_normal,paleosols,"Mora et al., 1996",760.6427778,401.372968,-1.492689533
