age,co2,co2_low,co2_high,xi_co2,omega_co2,alpha_co2
33,626,553,712,675.9261975,91.10406928,-0.745043825
33.2,789,685,910,857.2990133,128.1240493,-0.721307915
33.3,1108,958,1286,1212.931021,188.5983794,-0.758472455
33.5,1161,998,1359,1283.095969,209.8392229,-0.800104326
33.6,764,672,879,838.3904354,121.8381234,-0.848374174
34,960,828,1128,1071.628723,177.9041418,-0.877512413
34.2,1075,921,1269,1201.987281,205.498103,-0.861032162
34.4,1048,830,1350,1270.169007,318.3959443,-1.005439165
34.6,877,689,1141,1073.845033,278.0658337,-1.024873652
5.2,328,311,345,327.9395173,17.09484802,0.004434344
5.2,304,289,320,310.6567613,16.766327,-0.518456165
5.3,229,217,243,236.9530327,14.82595947,-0.726610537
7.4,304,288,320,303.9606778,16.08921609,0.003063125
7.8,201,190,212,200.9633207,11.06136383,0.004155997
8.2,206,195,216,200.7370994,11.59187786,0.600829036
8.6,237,221,252,230.3432387,16.766327,0.518456165
9,228,212,244,228.0512389,16.08924965,-0.003991409
9.4,224,207,242,231.1704451,18.82711458,-0.49564583
9.9,233,21,253,-10.36920749,187.4418464,4.105345628
12.1,344,327,363,353.6075272,20.06095305,-0.637925587
13.2,385,368,403,392.1704451,18.82711458,-0.49564583
15.1,433,415,453,442.918912,21.10312598,-0.624589111
16.1,389,373,406,395.9161984,17.79722613,-0.506551709
17.2,390,373,408,397.1704451,18.82711458,-0.49564583
18.1,408,390,427,415.4198933,19.85608732,-0.485601879
19.1,368,352,385,374.9161984,17.79722613,-0.506551709
60,683,482,882,639.6260498,205.5394516,0.26747507
72,729,514,964,838.6838543,247.4135809,-0.585113556
99,903,578,1256,1063.472655,371.2638078,-0.568949336
103,1240,191,1733,247.8798068,1058.748471,1.568082714
103,1208,558,1738,800.3843635,688.8404395,0.816556041
103,940,624,1320,1169.986735,402.704693,-0.782409669
109,635,427,870,757.842228,248.376517,-0.661645381
121,1177,700,1733,1492.194263,588.7810569,-0.724882729
141,1074,783,1400,1240.082206,344.286461,-0.643166789
160,733,541,931,796.2828362,205.1831996,-0.396082517
170,756,490,1010,657.8182684,277.3118454,0.458328761
188,1063,810,1326,1154.225755,273.4613298,-0.430242649
202,423,293,552,397.3395205,132.6343911,0.244777195
3,468,200,800,679.715349,351.7984079,-0.833488277
4,80,0.1,267,262.1819316,186.7070465,-1.689517202
5,324,164,484,324.3194535,160.8919976,-0.00248848
6,292,132,452,292.4266022,160.892246,-0.003323149
7,148,0.1,388,348.2519961,249.5581984,-1.221327388
8,133,0.1,267,160.0509937,136.7902643,-0.250308754
9,204,44,364,204.4270418,160.8922472,-0.003326573
10,448,288,608,448.5188374,160.8925169,-0.004041643
10,468,308,628,467.5201429,160.8923959,0.003737995
12.8,433,305,561,433.3009334,128.7136962,-0.002930266
13,296,176,416,296.3438471,120.6692503,-0.003571337
13,176,56,296,176.276241,120.6690765,-0.002869152
13.1,519,262,776,519.6210351,258.4330079,-0.003011824
13.8,310,233,387,309.7825791,77.42942645,0.003519309
14,133,0.1,267,160.0509937,136.7902643,-0.250308754
14,0.1,0.1,100,116.7617528,83.02904713,-15.51255099
14.4,203,133,273,203.1686557,70.39031226,-0.003002961
14.7,116,79,153,116.07629,37.20627933,-0.002569877
15.1,291,209,373,291.1976847,82.45722319,-0.003004733
15.6,852,766,938,851.8107043,86.47948539,0.002743398
16,579,489,669,578.7869726,90.50182092,0.002950119
16.1,487,390,584,486.8843841,97.54064981,0.001485567
21,312,152,472,312.3860877,160.8921435,-0.003007548
25,588,308,880,692.1811208,303.9768112,-0.442742919
45,780,640,880,675.9202964,147.4915228,1.020548755
53,80,0.1,267,262.1819316,186.7070465,-1.689517202
53,814,574,1054,813.2924848,241.3385575,0.003674272
54,231,71,391,230.8204368,160.8917807,0.001398761
55,461,261,661,460.5499998,201.115104,0.002804331
56,328,200,460,370.1885575,136.7887997,-0.396082517
56,100,60,140,99.90562628,40.22303083,0.002940612
56,487,291,687,542.1220425,206.0914177,-0.34137733
56,579,379,779,579.5181105,201.1152679,-0.003228785
56,428,200,680,550.6986093,265.7283023,-0.612265479
56,100,60,140,100.1029082,40.22305174,-0.00320654
57,816,576,1056,816.6609944,241.3384257,-0.003432678
57,474,274,674,474.5972022,201.115487,-0.003721671
64,178,148,208,178.0846119,30.16730874,-0.003515255
64,163,136,190,163.057984,27.15053298,-0.002676646
64,400,320,480,400.2208261,80.44614334,-0.003440386
64,88,73,103,88.04464607,15.0836611,-0.003709698
65,111,93,130,118.4198933,19.85608732,-0.485601879
65,340,280,400,339.8020387,60.33470502,0.004112216
65,178,148,207,168.0772712,31.13171523,0.410022926
65,54,45,63,53.97405729,9.050194206,0.003592687
65,0.1,0.1,210,245.2181373,174.4524223,-15.51255099
65,183,153,214,193.1331206,32.15389824,-0.405162791
65,277,231,324,290.2408291,48.46975928,-0.348948771
65,90,75,105,90.03752535,15.08364172,-0.003118029
66,300,240,360,300.1489336,60.33456398,-0.003093771
66,0.1,0.1,100,116.7617528,83.02904713,-15.51255099
66,42,35,50,46.31828135,8.462740104,-0.685720433
66,15,12,17,12.63101038,3.142942756,1.116480002
66,263,219,307,262.8828488,44.24536721,0.003318491
66,453,377,528,434.9225426,77.93408647,0.294707793
66,426,355,497,425.8399558,71.39586259,0.002809494
66,265,221,310,277.8745828,46.43348064,-0.354383487
66,219,183,256,230.3505868,38.28002668,-0.380073941
66,328,208,448,328.3587284,120.6692935,-0.0037259
66,560,440,680,560.2302206,120.66898,-0.002391164
66,128,107,150,136.1426792,22.93827281,-0.459619229
67,172,52,292,172.3079023,120.6691532,-0.003198
67,252,132,372,251.6870732,120.6691661,0.003250185
67,300,240,360,299.8003911,60.33471027,0.004146442
68,10,9,12,11.84955037,2.032852413,-1.489473223
68,171,142,199,161.2900541,30.10915039,0.415120488
68,110,91,128,102.5801067,19.85608732,0.485601879
68,158,132,185,167.2767472,28.06278225,-0.426114205
68,60,0.1,260,270.1436306,192.2101155,-2.160231042
68,740,555,925,739.5241107,186.0316141,0.003206128
68,138,115,161,138.0567731,23.12824874,-0.003076535
68,202,169,236,212.750952,35.21835503,-0.391830962
68,145,121,169,144.9363266,24.13383607,0.003306691
69,345,287,402,329.8309716,59.6577249,0.32395634
69,204,170,238,203.8916996,34.18965362,0.003970067
69,309,258,361,323.1342454,53.5574382,-0.336673907
69,375,313,438,391.0040709,64.7378131,-0.314681569
69,329,274,383,314.3436139,56.6081976,0.330073303
69,122,101,142,114.0942747,21.9116005,0.467673043
69,38,32,45,41.97651633,7.412979737,-0.726610537
69,126,105,147,126.0825327,21.11719433,-0.004898398
70,254,212,297,266.5028063,44.3964338,-0.360168336
70,289,241,337,289.1468276,48.26772741,-0.00381253
71,294,245,343,294.1096212,49.27319908,-0.002788335
75,1180,936,1416,1099.774265,253.142825,0.407564391
77,480,360,600,479.6755647,120.6691964,0.003369717
80,504,264,744,503.413052,241.3382343,0.00304814
106,600,400,800,599.6783104,201.1148579,0.002004719
112,653,453,853,653.5297399,201.1152982,-0.003301257
115,904,540,1320,1128.55063,440.0624854,-0.685720433
115,1084,540,1320,556.3357885,544.083395,1.67004417
115,1076,540,1320,563.6985155,539.0211138,1.608622016
120,592,480,720,661.0925017,135.4038417,-0.685720433
129,112,49,179,139.4073692,70.15840058,-0.509428216
