Climate sensitivity,???,PDF,CDF
0.400000006,0,0,0
0.537777781,1.00E-04,0.000597638,8.77E-05
0.693333328,0.0007,0.004183467,0.000775602
0.866666675,0.0021,0.012550402,0.003062563
1.05777776,0.0045,0.026893718,0.008441307
1.26666665,0.0075,0.044822864,0.01820273
1.49333334,0.0118,0.07052131,0.034814421
1.73777783,0.017000001,0.101598501,0.060552705
2,0.0231,0.138054416,0.09798079
2.27999997,0.0299,0.178693816,0.149603426
2.57777762,0.035599999,0.212759197,0.214849576
2.8933332,0.0394,0.235469446,0.291246325
3.22666645,0.040899999,0.244434014,0.374897093
3.57777762,0.037999999,0.227102503,0.456654012
3.94666648,0.035300002,0.210966289,0.536352396
4.33333302,0.031800002,0.190048948,0.611527264
4.73777723,0.028999999,0.173315063,0.683164179
5.15999937,0.024599999,0.147018984,0.746545672
5.59999943,0.0207,0.123711109,0.802078247
6.0577774,0.0173,0.103391409,0.850327551
6.53333282,0.0138,0.082474068,0.890281618
7.02666616,0.011,0.065740198,0.923297822
7.53777742,0.0079,0.047213413,0.947848737
8.0666666,0.0058,0.034663014,0.966489732
8.6133337,0.0042,0.025100803,0.980434597
9.17777824,0.0027,0.016136231,0.989686072
9.76000023,0.0016,0.009562211,0.99533844
10.3600006,0.0013,0.007769296,1
